"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"354880 São Caetano do Sul";-;-;1;-;12;1;152;288;-;-;-;6;-;-;3;-;-;1;-;34;1;1;-;3;503
"354890 São Carlos";1;-;2;-;25;1;29;156;-;-;-;3;-;-;39;-;-;2;-;30;2;-;1;1;292
"354900 São Francisco";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354910 São João da Boa Vista";-;-;1;-;11;2;23;269;-;1;-;2;1;-;2;-;-;1;1;12;3;-;-;-;329
"354920 São João das Duas Pontes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"354925 São João de Iracema";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354940 São Joaquim da Barra";-;-;-;-;10;-;6;104;-;-;-;1;-;-;-;-;-;1;1;9;1;-;-;-;133
"354950 São José da Bela Vista";-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"354960 São José do Barreiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3
"354970 São José do Rio Pardo";-;-;1;-;4;-;27;52;1;-;-;1;-;-;5;-;-;1;1;11;1;-;-;-;105
"354980 São José do Rio Preto";1;3;5;-;29;2;249;220;2;3;5;7;1;1;45;-;-;5;2;60;4;-;1;1;646
"354990 São José dos Campos";-;2;4;-;39;1;124;901;2;1;9;10;5;-;27;1;1;5;-;47;4;1;-;2;1186
"354995 São Lourenço da Serra";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355000 São Luís do Paraitinga";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"355010 São Manuel";-;-;-;-;6;-;-;39;-;-;-;1;-;-;-;-;-;-;1;8;1;-;-;-;56
"355020 São Miguel Arcanjo";-;-;1;-;9;-;2;23;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;40
"355030 São Paulo";-;-;50;2;560;9;1849;8004;8;22;50;148;14;1;216;26;6;22;3;555;37;1;20;8;11611
"355040 São Pedro";-;-;-;-;4;-;4;44;-;3;-;1;-;-;2;-;-;-;-;2;-;-;-;-;60
"355050 São Pedro do Turvo";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355060 São Roque";-;-;1;-;9;-;17;117;1;-;-;2;-;-;6;-;-;-;1;8;2;-;-;-;164
"355070 São Sebastião";-;-;1;-;14;1;6;92;-;-;-;1;-;-;-;1;-;1;1;4;1;-;-;-;123
"355080 São Sebastião da Grama";-;-;-;-;5;-;1;13;-;-;-;1;-;-;-;-;-;1;-;2;2;-;-;-;25
"355090 São Simão";-;-;-;-;3;-;4;18;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;30
"355100 São Vicente";-;-;5;-;27;1;29;138;-;1;-;3;1;-;4;3;-;3;1;10;-;-;1;1;228
"355110 Sarapuí";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"355120 Sarutaiá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355130 Sebastianópolis do Sul";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355160 Serra Negra";-;-;1;-;1;-;4;28;-;-;-;1;-;-;1;6;-;-;1;5;1;-;-;-;49
"355150 Serrana";-;-;-;-;5;-;6;4;-;-;-;1;-;-;3;-;-;-;1;1;1;-;-;-;22
"355170 Sertãozinho";-;-;1;-;12;-;30;111;-;-;-;2;1;-;6;-;-;1;1;11;2;-;-;-;178
"355180 Sete Barras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"355190 Severínia";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;6
"355200 Silveiras";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"355210 Socorro";-;-;1;-;5;-;1;19;-;-;-;1;-;-;1;6;-;-;-;4;-;-;-;-;38
"355220 Sorocaba";-;-;5;-;34;1;78;273;-;1;6;7;3;1;26;-;-;3;2;57;6;-;3;8;514
"355230 Sud Mennucci";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;8
"355240 Sumaré";-;-;1;-;25;1;15;73;-;1;-;1;1;-;14;1;-;1;1;15;2;-;-;-;152
"355255 Suzanápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;-;1;-;19;-;36;56;-;2;-;4;-;-;9;-;-;1;1;18;-;-;1;-;148
"355260 Tabapuã";-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;1;-;-;1;1;1;-;-;-;11
"355270 Tabatinga";-;-;-;-;4;-;-;26;-;-;-;1;-;-;1;-;-;1;-;5;1;-;-;-;39
"355280 Taboão da Serra";-;-;2;-;10;1;24;30;-;1;1;3;-;-;8;-;1;1;-;6;1;-;1;-;90
"355290 Taciba";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;1;-;-;6;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;10
"355310 Taiaçu";-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"355320 Taiúva";-;-;-;-;2;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;10
"355330 Tambaú";-;-;-;-;5;-;-;25;-;-;-;1;-;-;1;1;-;1;1;5;-;-;-;-;40
"355340 Tanabi";-;-;-;-;6;-;12;5;-;-;-;1;-;-;-;3;-;-;-;3;-;-;-;-;30
"355350 Tapiraí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355360 Tapiratiba";-;-;-;-;2;-;-;2;-;-;-;1;-;-;1;1;-;-;1;-;-;-;-;-;8
"355365 Taquaral";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;-;2;-;9;-;9;80;1;-;-;1;1;-;2;-;-;1;1;9;-;-;-;1;117
"355380 Taquarituba";-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;11
"355385 Taquarivaí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4
"355390 Tarabai";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355395 Tarumã";-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;11
"355400 Tatuí";-;-;-;-;14;-;25;217;-;-;-;1;-;-;5;1;-;2;1;18;2;-;1;1;288
"355410 Taubaté";-;-;1;-;55;-;117;321;-;-;1;4;2;1;4;-;-;1;1;29;6;-;-;3;546
"355420 Tejupá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355430 Teodoro Sampaio";-;-;-;-;9;-;1;8;-;-;-;1;-;-;-;-;-;-;-;4;1;-;-;-;24
"355440 Terra Roxa";-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;12
"355450 Tietê";-;-;-;-;3;-;8;65;-;-;-;1;-;-;-;5;-;-;-;11;2;-;-;-;95
"355460 Timburi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355465 Torre de Pedra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355470 Torrinha";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"355475 Trabiju";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355480 Tremembé";-;-;-;-;4;-;3;8;-;-;-;1;-;-;-;3;-;1;-;1;-;-;-;-;21
"355490 Três Fronteiras";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355495 Tuiuti";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355500 Tupã";1;-;-;-;5;-;6;75;-;-;3;2;-;-;5;7;-;-;1;7;-;-;-;-;112
"355510 Tupi Paulista";-;-;-;-;6;-;1;16;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;25
"355520 Turiúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355530 Turmalina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";-;-;1;-;19;-;4;28;-;-;-;1;-;-;-;2;-;-;-;3;1;-;-;-;59
"355550 Ubirajara";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355560 Uchoa";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"355570 União Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"355580 Urânia";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"355590 Uru";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355600 Urupês";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"355610 Valentim Gentil";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355620 Valinhos";-;-;1;-;13;-;18;205;-;-;-;2;-;-;3;-;-;1;-;9;2;-;-;-;254
"355630 Valparaíso";-;-;-;-;6;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;19
"355635 Vargem";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355640 Vargem Grande do Sul";-;-;-;-;2;-;3;51;-;-;-;1;-;-;2;4;-;1;-;4;1;-;-;-;69
"355645 Vargem Grande Paulista";-;-;-;-;7;-;3;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;15
"355650 Várzea Paulista";-;-;1;-;14;-;5;6;-;-;-;1;-;-;1;-;-;-;1;2;-;-;-;-;31
"355660 Vera Cruz";-;-;-;-;1;-;2;7;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;12
"355670 Vinhedo";-;-;1;-;4;-;26;167;-;-;-;1;-;-;2;-;-;-;1;12;1;-;-;-;215
"355680 Viradouro";-;-;-;-;5;-;4;18;-;1;-;1;-;-;2;-;-;-;1;1;2;-;-;-;35
"355690 Vista Alegre do Alto";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;6
"355695 Vitória Brasil";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;-;1;-;15;-;5;33;-;-;-;3;1;-;2;1;-;-;1;6;1;1;-;1;71
"355710 Votuporanga";-;-;1;-;14;-;14;161;-;-;-;2;-;-;1;-;-;-;-;14;-;-;-;1;208
"355715 Zacarias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"Total";6;11;269;2;4203;68;6762;31445;27;102;178;731;87;17;1245;360;19;222;218;3111;384;31;77;93;49668
&
